127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000323
127.0.0.1, 2018-05-17 13:31:08, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.076385
127.0.0.1, 2018-05-17 13:31:08, GET, /start/api/get_memos, HTTP/1.1, 200, 0.100960
127.0.0.1, 2018-05-17 13:31:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2018-05-17 13:31:32, GET, /start/default/index, HTTP/1.1, 200, 0.042449
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001790
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002555
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002081
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001636
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.005346
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.005773
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000425
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000437
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000783
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001173
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.002118
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2018-05-17 13:31:32, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000294
127.0.0.1, 2018-05-17 13:31:33, GET, /start/api/get_memos, HTTP/1.1, 200, 0.078910
127.0.0.1, 2018-05-17 13:31:33, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.101115
127.0.0.1, 2018-05-17 13:31:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000569
127.0.0.1, 2018-05-17 13:31:44, GET, /start/default/index, HTTP/1.1, 200, 0.047385
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002290
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001497
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002548
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002982
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003105
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.005974
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000654
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000732
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.001047
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.000687
